Fecha,Ultimo,Apertura,Maximo,Minimo,Var
16.07.2020,"789,36","782,05","789,81","781,24","0,93%"
15.07.2020,"782,05","786,50","791,53","780,85","-0,57%"
14.07.2020,"786,50","789,75","791,07","785,12","-0,41%"
13.07.2020,"789,75","792,42","795,74","784,30","-0,34%"
10.07.2020,"792,42","788,53","797,59","786,04","0,49%"
09.07.2020,"788,55","786,91","789,98","773,49","0,21%"
08.07.2020,"786,91","789,48","791,48","782,88","-0,33%"
07.07.2020,"789,50","799,26","803,65","788,53","-1,22%"
06.07.2020,"799,26","802,52","802,79","792,93","-0,41%"
03.07.2020,"802,52","801,10","805,28","796,01","0,18%"
02.07.2020,"801,10","808,60","809,10","798,70","-0,95%"
01.07.2020,"808,75","822,99","822,99","808,75","-1,73%"
30.06.2020,"823,00","821,47","823,95","818,47","0,19%"
29.06.2020,"821,47","821,47","822,06","818,02","-0,01%"
26.06.2020,"821,53","809,16","821,70","807,75","1,64%"
25.06.2020,"808,25","819,08","821,76","808,22","-1,30%"
24.06.2020,"818,90","819,25","824,88","816,96","-0,04%"
23.06.2020,"819,25","819,70","820,92","814,65","-0,05%"
22.06.2020,"819,70","817,30","822,43","808,82","0,29%"
19.06.2020,"817,30","817,54","825,08","812,06","-0,03%"
18.06.2020,"817,54","801,59","818,49","801,01","1,99%"
17.06.2020,"801,59","784,25","805,07","784,07","2,21%"
